,Country,Case_in_the_last_7_days,Cases_in_the_preceding_7days,Weekly_Case_%Change,Cases_in_the_last_7days/1M_pop,Deaths_in_the_last_7days,Deaths_in_the_preceding_7days,Weekly_Deaths_%change,Deaths_in_the_last_7days/1M_pop,Weekly_Case_Change,Weekly_Case_Change/1M_pop,Weekly_Deaths_Change,Weekly_Deaths_Change/1M_pop,Population
0,"
North America
",39530416,7997,885791,224,32231770,9782,6412855,14684,0,0.0,0,111163,0
1,"
Asia
",49738601,248218,656920,4378,45122397,304122,3959284,31543,0,0.0,0,111163,0
2,"
South America
",27851515,6782,756544,98,25123846,7577,1971125,29228,0,0.0,0,111163,0
3,"
Europe
",46283283,38828,1063480,1374,42930300,97628,2289503,17991,0,0.0,0,111163,0
4,"
Africa
",4813221,3652,129083,58,4340284,3534,343854,2764,0,0.0,0,111163,0
5,"
Oceania
",67626,68,1245,0,65155,93,1226,3,0,0.0,0,111163,0
6,"

",721,0,15,0,706,0,0,0,0,0.0,0,111163,0
7,World,168285383,305545,3493078,6132,149814458,422736,14977847,96213,21589,448.1,0,111163,0
8,USA,33924707,1770,604478,62,27564594,664,5755635,6848,101956,1817.0,474388680,111163,332738490
9,India,27122158,174662,310416,3167,24278735,230975,2533007,8944,19483,223.0,332594176,111163,1392123725
10,Brazil,16121136,0,450026,0,14552024,0,1119086,8318,75364,2104.0,49013934,111163,213910194
11,France,5605895,0,108658,0,5222049,0,275188,3496,85713,1661.0,83136527,111163,65402812
12,Turkey,5203385,9375,46621,175,5045508,11192,111256,1667,61109,548.0,52817437,111163,85149488
13,Russia,5017795,7884,119194,393,4632955,8743,265646,2300,34371,816.0,136100000,111163,145990507
14,UK,4467310,2493,127739,15,4305971,2350,33600,121,65498,1873.0,178307058,111163,68204982
15,Italy,4197892,3224,125501,166,3804246,11348,268145,1323,69522,2078.0,64918613,111163,60382159
16,Germany,3660547,557,88054,15,3423700,14900,148793,3477,43566,1048.0,59197639,111163,84023708
17,Spain,3652879,5359,79801,90,3402258,7918,170820,1552,78101,1706.0,49708830,111163,46770998
18,Argentina,3562135,0,74480,0,3133183,0,354472,6373,78175,1635.0,13256309,111163,45566304
19,Colombia,3249433,0,85207,0,3046147,0,118079,6582,63259,1659.0,16419432,111163,51367216
20,Poland,2867187,1000,73096,151,2629626,1947,164465,990,75833,1933.0,15581754,111163,37809471
21,Iran,2855396,11873,79056,208,2362428,14676,413912,4695,33612,931.0,19185933,111163,84952366
22,Mexico,2397307,703,221695,48,1916144,2043,259468,4798,18421,1703.0,6946817,111163,130142521
23,Ukraine,2186463,2608,49685,249,1975064,17503,161714,177,50266,1142.0,10022457,111163,43498056
24,Peru,1926923,0,68358,0,1720665,0,137900,2682,57724,2048.0,12506500,111163,33381597
25,Indonesia,1786187,5060,49627,172,1642074,3795,94486,0,6469,180.0,16230571,111163,276106612
